analysis_id,region,jurisdiction,age_group,sex,included,exclusion_reason,data_start,data_end,n_observations,missing_or_suppressed
us__us-non-sex__georgia__20-39__total,us_non_sex,Georgia,20-39,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__georgia__40-59__total,us_non_sex,Georgia,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__georgia__60-79__total,us_non_sex,Georgia,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__georgia__ge80__total,us_non_sex,Georgia,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__hawaii__20-39__total,us_non_sex,Hawaii,20-39,total,TRUE,,1999-01-31,2023-08-31,198,98
us__us-non-sex__hawaii__40-59__total,us_non_sex,Hawaii,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__hawaii__60-79__total,us_non_sex,Hawaii,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__hawaii__ge80__total,us_non_sex,Hawaii,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__idaho__20-39__total,us_non_sex,Idaho,20-39,total,TRUE,,1999-02-28,2023-08-31,263,33
us__us-non-sex__idaho__40-59__total,us_non_sex,Idaho,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__idaho__60-79__total,us_non_sex,Idaho,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__idaho__ge80__total,us_non_sex,Idaho,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__illinois__20-39__total,us_non_sex,Illinois,20-39,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__illinois__40-59__total,us_non_sex,Illinois,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__illinois__60-79__total,us_non_sex,Illinois,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__illinois__ge80__total,us_non_sex,Illinois,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__indiana__20-39__total,us_non_sex,Indiana,20-39,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__indiana__40-59__total,us_non_sex,Indiana,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__indiana__60-79__total,us_non_sex,Indiana,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__indiana__ge80__total,us_non_sex,Indiana,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__iowa__20-39__total,us_non_sex,Iowa,20-39,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__iowa__40-59__total,us_non_sex,Iowa,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__iowa__60-79__total,us_non_sex,Iowa,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__iowa__ge80__total,us_non_sex,Iowa,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__kansas__20-39__total,us_non_sex,Kansas,20-39,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__kansas__40-59__total,us_non_sex,Kansas,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__kansas__60-79__total,us_non_sex,Kansas,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__kansas__ge80__total,us_non_sex,Kansas,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__kentucky__20-39__total,us_non_sex,Kentucky,20-39,total,TRUE,,1999-01-31,2023-08-31,296,0
