analysis_id,region,jurisdiction,age_group,sex,included,exclusion_reason,data_start,data_end,n_observations,missing_or_suppressed
us__us-non-sex__kentucky__40-59__total,us_non_sex,Kentucky,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__kentucky__60-79__total,us_non_sex,Kentucky,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__kentucky__ge80__total,us_non_sex,Kentucky,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__louisiana__20-39__total,us_non_sex,Louisiana,20-39,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__louisiana__40-59__total,us_non_sex,Louisiana,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__louisiana__60-79__total,us_non_sex,Louisiana,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__louisiana__ge80__total,us_non_sex,Louisiana,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__maine__20-39__total,us_non_sex,Maine,20-39,total,TRUE,,1999-01-31,2023-08-31,229,67
us__us-non-sex__maine__40-59__total,us_non_sex,Maine,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__maine__60-79__total,us_non_sex,Maine,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__maine__ge80__total,us_non_sex,Maine,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__maryland__20-39__total,us_non_sex,Maryland,20-39,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__maryland__40-59__total,us_non_sex,Maryland,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__maryland__60-79__total,us_non_sex,Maryland,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__maryland__ge80__total,us_non_sex,Maryland,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__massachusetts__20-39__total,us_non_sex,Massachusetts,20-39,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__massachusetts__40-59__total,us_non_sex,Massachusetts,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
