"figure","region","geography","age_group","status","reason","geography_label"
"figure_05","us","Virginia","0-44","available",,"Virginia"
"figure_05","us","Washington","0-44","available",,"Washington"
"figure_05","us","West Virginia","0-44","available",,"West Virginia"
"figure_05","us","Wisconsin","0-44","available",,"Wisconsin"
"figure_05","us","Wyoming","0-44","available",,"Wyoming"
"figure_05","us","Alabama","45-64","available",,"Alabama"
"figure_05","us","Alaska","45-64","available",,"Alaska"
"figure_05","us","Arizona","45-64","available",,"Arizona"
"figure_05","us","Arkansas","45-64","available",,"Arkansas"
"figure_05","us","California","45-64","available",,"California"
"figure_05","us","Colorado","45-64","available",,"Colorado"
"figure_05","us","Connecticut","45-64","available",,"Connecticut"
"figure_05","us","Delaware","45-64","available",,"Delaware"
"figure_05","us","District of Columbia","45-64","available",,"District of Columbia"
"figure_05","us","Florida","45-64","available",,"Florida"
"figure_05","us","Georgia","45-64","available",,"Georgia"
"figure_05","us","Hawaii","45-64","available",,"Hawaii"
"figure_05","us","Idaho","45-64","available",,"Idaho"
"figure_05","us","Illinois","45-64","available",,"Illinois"
"figure_05","us","Indiana","45-64","available",,"Indiana"
"figure_05","us","Iowa","45-64","available",,"Iowa"
"figure_05","us","Kansas","45-64","available",,"Kansas"
"figure_05","us","Kentucky","45-64","available",,"Kentucky"
"figure_05","us","Louisiana","45-64","available",,"Louisiana"
"figure_05","us","Maine","45-64","available",,"Maine"
"figure_05","us","Maryland","45-64","available",,"Maryland"
"figure_05","us","Massachusetts","45-64","available",,"Massachusetts"
"figure_05","us","Michigan","45-64","available",,"Michigan"
"figure_05","us","Minnesota","45-64","available",,"Minnesota"
"figure_05","us","Mississippi","45-64","available",,"Mississippi"
"figure_05","us","Missouri","45-64","available",,"Missouri"
"figure_05","us","Montana","45-64","available",,"Montana"
"figure_05","us","Nebraska","45-64","available",,"Nebraska"
"figure_05","us","Nevada","45-64","available",,"Nevada"
"figure_05","us","New Hampshire","45-64","available",,"New Hampshire"
"figure_05","us","New Jersey","45-64","available",,"New Jersey"
"figure_05","us","New Mexico","45-64","available",,"New Mexico"
"figure_05","us","New York","45-64","available",,"New York"
"figure_05","us","North Carolina","45-64","available",,"North Carolina"
"figure_05","us","North Dakota","45-64","available",,"North Dakota"
"figure_05","us","Ohio","45-64","available",,"Ohio"
"figure_05","us","Oklahoma","45-64","available",,"Oklahoma"
"figure_05","us","Oregon","45-64","available",,"Oregon"
"figure_05","us","Pennsylvania","45-64","available",,"Pennsylvania"
"figure_05","us","Rhode Island","45-64","available",,"Rhode Island"
"figure_05","us","South Carolina","45-64","available",,"South Carolina"
"figure_05","us","South Dakota","45-64","available",,"South Dakota"
"figure_05","us","Tennessee","45-64","available",,"Tennessee"
"figure_05","us","Texas","45-64","available",,"Texas"
"figure_05","us","Utah","45-64","available",,"Utah"
"figure_05","us","Vermont","45-64","available",,"Vermont"
"figure_05","us","Virginia","45-64","available",,"Virginia"
"figure_05","us","Washington","45-64","available",,"Washington"
"figure_05","us","West Virginia","45-64","available",,"West Virginia"
"figure_05","us","Wisconsin","45-64","available",,"Wisconsin"
"figure_05","us","Wyoming","45-64","available",,"Wyoming"
"figure_05","us","Alabama","65-84","available",,"Alabama"
"figure_05","us","Alaska","65-84","available",,"Alaska"
"figure_05","us","Arizona","65-84","available",,"Arizona"
"figure_05","us","Arkansas","65-84","available",,"Arkansas"
"figure_05","us","California","65-84","available",,"California"
"figure_05","us","Colorado","65-84","available",,"Colorado"
"figure_05","us","Connecticut","65-84","available",,"Connecticut"
"figure_05","us","Delaware","65-84","available",,"Delaware"
"figure_05","us","District of Columbia","65-84","available",,"District of Columbia"
"figure_05","us","Florida","65-84","available",,"Florida"
"figure_05","us","Georgia","65-84","available",,"Georgia"
"figure_05","us","Hawaii","65-84","available",,"Hawaii"
"figure_05","us","Idaho","65-84","available",,"Idaho"
"figure_05","us","Illinois","65-84","available",,"Illinois"
"figure_05","us","Indiana","65-84","available",,"Indiana"
"figure_05","us","Iowa","65-84","available",,"Iowa"
"figure_05","us","Kansas","65-84","available",,"Kansas"
"figure_05","us","Kentucky","65-84","available",,"Kentucky"
"figure_05","us","Louisiana","65-84","available",,"Louisiana"
"figure_05","us","Maine","65-84","available",,"Maine"
"figure_05","us","Maryland","65-84","available",,"Maryland"
"figure_05","us","Massachusetts","65-84","available",,"Massachusetts"
"figure_05","us","Michigan","65-84","available",,"Michigan"
"figure_05","us","Minnesota","65-84","available",,"Minnesota"
"figure_05","us","Mississippi","65-84","available",,"Mississippi"
"figure_05","us","Missouri","65-84","available",,"Missouri"
"figure_05","us","Montana","65-84","available",,"Montana"
"figure_05","us","Nebraska","65-84","available",,"Nebraska"
"figure_05","us","Nevada","65-84","available",,"Nevada"
"figure_05","us","New Hampshire","65-84","available",,"New Hampshire"
"figure_05","us","New Jersey","65-84","available",,"New Jersey"
"figure_05","us","New Mexico","65-84","available",,"New Mexico"
"figure_05","us","New York","65-84","available",,"New York"
"figure_05","us","North Carolina","65-84","available",,"North Carolina"
"figure_05","us","North Dakota","65-84","available",,"North Dakota"
"figure_05","us","Ohio","65-84","available",,"Ohio"
"figure_05","us","Oklahoma","65-84","available",,"Oklahoma"
"figure_05","us","Oregon","65-84","available",,"Oregon"
"figure_05","us","Pennsylvania","65-84","available",,"Pennsylvania"
"figure_05","us","Rhode Island","65-84","available",,"Rhode Island"
"figure_05","us","South Carolina","65-84","available",,"South Carolina"
"figure_05","us","South Dakota","65-84","available",,"South Dakota"
"figure_05","us","Tennessee","65-84","available",,"Tennessee"
"figure_05","us","Texas","65-84","available",,"Texas"
"figure_05","us","Utah","65-84","available",,"Utah"
"figure_05","us","Vermont","65-84","available",,"Vermont"
"figure_05","us","Virginia","65-84","available",,"Virginia"
"figure_05","us","Washington","65-84","available",,"Washington"
"figure_05","us","West Virginia","65-84","available",,"West Virginia"
"figure_05","us","Wisconsin","65-84","available",,"Wisconsin"
"figure_05","us","Wyoming","65-84","available",,"Wyoming"
"figure_05","us","Alabama","GE85","available",,"Alabama"
"figure_05","us","Alaska","GE85","available",,"Alaska"
"figure_05","us","Arizona","GE85","available",,"Arizona"
"figure_05","us","Arkansas","GE85","available",,"Arkansas"
"figure_05","us","California","GE85","available",,"California"
"figure_05","us","Colorado","GE85","available",,"Colorado"
"figure_05","us","Connecticut","GE85","available",,"Connecticut"
"figure_05","us","Delaware","GE85","available",,"Delaware"
"figure_05","us","District of Columbia","GE85","available",,"District of Columbia"
"figure_05","us","Florida","GE85","available",,"Florida"
"figure_05","us","Georgia","GE85","available",,"Georgia"
"figure_05","us","Hawaii","GE85","available",,"Hawaii"
"figure_05","us","Idaho","GE85","available",,"Idaho"
"figure_05","us","Illinois","GE85","available",,"Illinois"
"figure_05","us","Indiana","GE85","available",,"Indiana"
"figure_05","us","Iowa","GE85","available",,"Iowa"
"figure_05","us","Kansas","GE85","available",,"Kansas"
"figure_05","us","Kentucky","GE85","available",,"Kentucky"
"figure_05","us","Louisiana","GE85","available",,"Louisiana"
"figure_05","us","Maine","GE85","available",,"Maine"
"figure_05","us","Maryland","GE85","available",,"Maryland"
"figure_05","us","Massachusetts","GE85","available",,"Massachusetts"
"figure_05","us","Michigan","GE85","available",,"Michigan"
"figure_05","us","Minnesota","GE85","available",,"Minnesota"
"figure_05","us","Mississippi","GE85","available",,"Mississippi"
"figure_05","us","Missouri","GE85","available",,"Missouri"
"figure_05","us","Montana","GE85","available",,"Montana"
"figure_05","us","Nebraska","GE85","available",,"Nebraska"
"figure_05","us","Nevada","GE85","available",,"Nevada"
"figure_05","us","New Hampshire","GE85","available",,"New Hampshire"
"figure_05","us","New Jersey","GE85","available",,"New Jersey"
"figure_05","us","New Mexico","GE85","available",,"New Mexico"
"figure_05","us","New York","GE85","available",,"New York"
"figure_05","us","North Carolina","GE85","available",,"North Carolina"
"figure_05","us","North Dakota","GE85","available",,"North Dakota"
"figure_05","us","Ohio","GE85","available",,"Ohio"
"figure_05","us","Oklahoma","GE85","available",,"Oklahoma"
"figure_05","us","Oregon","GE85","available",,"Oregon"
"figure_05","us","Pennsylvania","GE85","available",,"Pennsylvania"
"figure_05","us","Rhode Island","GE85","available",,"Rhode Island"
"figure_05","us","South Carolina","GE85","available",,"South Carolina"
"figure_05","us","South Dakota","GE85","available",,"South Dakota"
"figure_05","us","Tennessee","GE85","available",,"Tennessee"
"figure_05","us","Texas","GE85","available",,"Texas"
"figure_05","us","Utah","GE85","available",,"Utah"
"figure_05","us","Vermont","GE85","available",,"Vermont"
"figure_05","us","Virginia","GE85","available",,"Virginia"
"figure_05","us","Washington","GE85","available",,"Washington"
"figure_05","us","West Virginia","GE85","available",,"West Virginia"
"figure_05","us","Wisconsin","GE85","available",,"Wisconsin"
"figure_05","us","Wyoming","GE85","available",,"Wyoming"
