"figure","region","geography","age_group","status","reason","geography_label"
"figure_04","us","Missouri","20-39","available",,"Missouri"
"figure_04","us","Montana","20-39","available",,"Montana"
"figure_04","us","Nebraska","20-39","available",,"Nebraska"
"figure_04","us","Nevada","20-39","available",,"Nevada"
"figure_04","us","New Hampshire","20-39","available",,"New Hampshire"
"figure_04","us","New Jersey","20-39","available",,"New Jersey"
"figure_04","us","New Mexico","20-39","available",,"New Mexico"
"figure_04","us","New York","20-39","available",,"New York"
"figure_04","us","North Carolina","20-39","available",,"North Carolina"
"figure_04","us","North Dakota","20-39","available",,"North Dakota"
"figure_04","us","Ohio","20-39","available",,"Ohio"
"figure_04","us","Oklahoma","20-39","available",,"Oklahoma"
"figure_04","us","Oregon","20-39","available",,"Oregon"
"figure_04","us","Pennsylvania","20-39","available",,"Pennsylvania"
"figure_04","us","Rhode Island","20-39","available",,"Rhode Island"
"figure_04","us","South Carolina","20-39","available",,"South Carolina"
"figure_04","us","South Dakota","20-39","available",,"South Dakota"
"figure_04","us","Tennessee","20-39","available",,"Tennessee"
"figure_04","us","Texas","20-39","available",,"Texas"
"figure_04","us","Utah","20-39","available",,"Utah"
"figure_04","us","Vermont","20-39","available",,"Vermont"
"figure_04","us","Virginia","20-39","available",,"Virginia"
"figure_04","us","Washington","20-39","available",,"Washington"
"figure_04","us","West Virginia","20-39","available",,"West Virginia"
"figure_04","us","Wisconsin","20-39","available",,"Wisconsin"
"figure_04","us","Wyoming","20-39","available",,"Wyoming"
"figure_04","us","Alabama","40-59","available",,"Alabama"
"figure_04","us","Alaska","40-59","available",,"Alaska"
"figure_04","us","Arizona","40-59","available",,"Arizona"
"figure_04","us","Arkansas","40-59","available",,"Arkansas"
"figure_04","us","California","40-59","available",,"California"
"figure_04","us","Colorado","40-59","available",,"Colorado"
"figure_04","us","Connecticut","40-59","available",,"Connecticut"
"figure_04","us","Delaware","40-59","available",,"Delaware"
"figure_04","us","District of Columbia","40-59","available",,"District of Columbia"
"figure_04","us","Florida","40-59","available",,"Florida"
"figure_04","us","Georgia","40-59","available",,"Georgia"
"figure_04","us","Hawaii","40-59","available",,"Hawaii"
"figure_04","us","Idaho","40-59","available",,"Idaho"
"figure_04","us","Illinois","40-59","available",,"Illinois"
"figure_04","us","Indiana","40-59","available",,"Indiana"
"figure_04","us","Iowa","40-59","available",,"Iowa"
"figure_04","us","Kansas","40-59","available",,"Kansas"
"figure_04","us","Kentucky","40-59","available",,"Kentucky"
"figure_04","us","Louisiana","40-59","available",,"Louisiana"
"figure_04","us","Maine","40-59","available",,"Maine"
"figure_04","us","Maryland","40-59","available",,"Maryland"
"figure_04","us","Massachusetts","40-59","available",,"Massachusetts"
"figure_04","us","Michigan","40-59","available",,"Michigan"
"figure_04","us","Minnesota","40-59","available",,"Minnesota"
"figure_04","us","Mississippi","40-59","available",,"Mississippi"
"figure_04","us","Missouri","40-59","available",,"Missouri"
"figure_04","us","Montana","40-59","available",,"Montana"
"figure_04","us","Nebraska","40-59","available",,"Nebraska"
"figure_04","us","Nevada","40-59","available",,"Nevada"
"figure_04","us","New Hampshire","40-59","available",,"New Hampshire"
"figure_04","us","New Jersey","40-59","available",,"New Jersey"
"figure_04","us","New Mexico","40-59","available",,"New Mexico"
"figure_04","us","New York","40-59","available",,"New York"
"figure_04","us","North Carolina","40-59","available",,"North Carolina"
"figure_04","us","North Dakota","40-59","available",,"North Dakota"
"figure_04","us","Ohio","40-59","available",,"Ohio"
"figure_04","us","Oklahoma","40-59","available",,"Oklahoma"
