"figure","region","geography","geography_label","age_group","frequency","coverage_start","usable_observations","expected_observations","missing_observations","coverage_fraction","default_eligible"
"figure_04","europe","LV","Latvia","60-79","weekly",2020-01-01,226,227,1,0.995594713656388,TRUE
"figure_04","europe","LI","Liechtenstein","60-79","weekly",2020-01-01,149,227,78,0.656387665198238,FALSE
"figure_04","europe","LT","Lithuania","60-79","weekly",2020-01-01,225,227,2,0.991189427312775,TRUE
"figure_04","europe","LU","Luxembourg","60-79","weekly",2020-01-01,220,227,7,0.969162995594714,TRUE
"figure_04","europe","MT","Malta","60-79","weekly",2020-01-01,226,227,1,0.995594713656388,TRUE
"figure_04","europe","ME","Montenegro","60-79","weekly",2020-01-01,204,227,23,0.898678414096916,FALSE
"figure_04","europe","NL","Netherlands","60-79","weekly",2020-01-01,225,227,2,0.991189427312775,TRUE
"figure_04","europe","NO","Norway","60-79","weekly",2020-01-01,223,227,4,0.982378854625551,TRUE
"figure_04","europe","PL","Poland","60-79","weekly",2020-01-01,223,227,4,0.982378854625551,TRUE
"figure_04","europe","PT","Portugal","60-79","weekly",2020-01-01,221,227,6,0.973568281938326,TRUE
"figure_04","europe","RO","Romania","60-79","weekly",2020-01-01,221,227,6,0.973568281938326,TRUE
"figure_04","europe","RS","Serbia","60-79","weekly",2020-01-01,204,227,23,0.898678414096916,FALSE
"figure_04","europe","SK","Slovakia","60-79","weekly",2020-01-01,225,227,2,0.991189427312775,TRUE
"figure_04","europe","SI","Slovenia","60-79","weekly",2020-01-01,224,227,3,0.986784140969163,TRUE
"figure_04","europe","ES","Spain","60-79","weekly",2020-01-01,224,227,3,0.986784140969163,TRUE
"figure_04","europe","SE","Sweden","60-79","weekly",2020-01-01,224,227,3,0.986784140969163,TRUE
"figure_04","europe","CH","Switzerland","60-79","weekly",2020-01-01,222,227,5,0.977973568281938,TRUE
"figure_04","europe","AM","Armenia","GE80","weekly",2020-01-01,221,227,6,0.973568281938326,TRUE
"figure_04","europe","AT","Austria","GE80","weekly",2020-01-01,222,227,5,0.977973568281938,TRUE
"figure_04","europe","BE","Belgium","GE80","weekly",2020-01-01,223,227,4,0.982378854625551,TRUE
"figure_04","europe","BG","Bulgaria","GE80","weekly",2020-01-01,221,227,6,0.973568281938326,TRUE
"figure_04","europe","HR","Croatia","GE80","weekly",2020-01-01,221,227,6,0.973568281938326,TRUE
"figure_04","europe","CY","Cyprus","GE80","weekly",2020-01-01,222,227,5,0.977973568281938,TRUE
"figure_04","europe","CZ","Czechia","GE80","weekly",2020-01-01,221,227,6,0.973568281938326,TRUE
"figure_04","europe","DK","Denmark","GE80","weekly",2020-01-01,221,227,6,0.973568281938326,TRUE
"figure_04","europe","EE","Estonia","GE80","weekly",2020-01-01,227,227,0,1,TRUE
"figure_04","europe","FI","Finland","GE80","weekly",2020-01-01,223,227,4,0.982378854625551,TRUE
"figure_04","europe","FR","France","GE80","weekly",2020-01-01,222,227,5,0.977973568281938,TRUE
"figure_04","europe","DE","Germany","GE80","weekly",2020-01-01,225,227,2,0.991189427312775,TRUE
"figure_04","europe","EL","Greece","GE80","weekly",2020-01-01,221,227,6,0.973568281938326,TRUE
"figure_04","europe","HU","Hungary","GE80","weekly",2020-01-01,221,227,6,0.973568281938326,TRUE
"figure_04","europe","IS","Iceland","GE80","weekly",2020-01-01,220,227,7,0.969162995594714,TRUE
"figure_04","europe","IT","Italy","GE80","weekly",2020-01-01,221,227,6,0.973568281938326,TRUE
"figure_04","europe","LV","Latvia","GE80","weekly",2020-01-01,226,227,1,0.995594713656388,TRUE
"figure_04","europe","LI","Liechtenstein","GE80","weekly",2020-01-01,160,227,67,0.704845814977974,FALSE
"figure_04","europe","LT","Lithuania","GE80","weekly",2020-01-01,225,227,2,0.991189427312775,TRUE
"figure_04","europe","LU","Luxembourg","GE80","weekly",2020-01-01,220,227,7,0.969162995594714,TRUE
"figure_04","europe","MT","Malta","GE80","weekly",2020-01-01,226,227,1,0.995594713656388,TRUE
"figure_04","europe","ME","Montenegro","GE80","weekly",2020-01-01,204,227,23,0.898678414096916,FALSE
"figure_04","europe","NL","Netherlands","GE80","weekly",2020-01-01,225,227,2,0.991189427312775,TRUE
"figure_04","europe","NO","Norway","GE80","weekly",2020-01-01,223,227,4,0.982378854625551,TRUE
"figure_04","europe","PL","Poland","GE80","weekly",2020-01-01,223,227,4,0.982378854625551,TRUE
"figure_04","europe","PT","Portugal","GE80","weekly",2020-01-01,221,227,6,0.973568281938326,TRUE
"figure_04","europe","RO","Romania","GE80","weekly",2020-01-01,221,227,6,0.973568281938326,TRUE
"figure_04","europe","RS","Serbia","GE80","weekly",2020-01-01,204,227,23,0.898678414096916,FALSE
"figure_04","europe","SK","Slovakia","GE80","weekly",2020-01-01,225,227,2,0.991189427312775,TRUE
"figure_04","europe","SI","Slovenia","GE80","weekly",2020-01-01,224,227,3,0.986784140969163,TRUE
"figure_04","europe","ES","Spain","GE80","weekly",2020-01-01,224,227,3,0.986784140969163,TRUE
"figure_04","europe","SE","Sweden","GE80","weekly",2020-01-01,224,227,3,0.986784140969163,TRUE
"figure_04","europe","CH","Switzerland","GE80","weekly",2020-01-01,222,227,5,0.977973568281938,TRUE
"figure_04","us","Alabama","Alabama","20-39","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Alaska","Alaska","20-39","monthly",2020-01-01,42,44,2,0.954545454545455,TRUE
"figure_04","us","Arizona","Arizona","20-39","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Arkansas","Arkansas","20-39","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","California","California","20-39","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Colorado","Colorado","20-39","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Connecticut","Connecticut","20-39","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Delaware","Delaware","20-39","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","District of Columbia","District of Columbia","20-39","monthly",2020-01-01,38,44,6,0.863636363636364,FALSE
