"Notes"	"Residence State"	"Residence State Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2021"	"2021"	"Apr., 2021"	"2021/04"	"15-19 years"	"15-19"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Apr., 2021"	"2021/04"	"20-24 years"	"20-24"	54	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Apr., 2021"	"2021/04"	"25-29 years"	"25-29"	52	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Apr., 2021"	"2021/04"	"30-34 years"	"30-34"	77	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Apr., 2021"	"2021/04"	"35-39 years"	"35-39"	87	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Apr., 2021"	"2021/04"	"40-44 years"	"40-44"	119	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Apr., 2021"	"2021/04"	"45-49 years"	"45-49"	169	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Apr., 2021"	"2021/04"	"50-54 years"	"50-54"	195	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Apr., 2021"	"2021/04"	"55-59 years"	"55-59"	287	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Apr., 2021"	"2021/04"	"60-64 years "	"60-64"	465	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Apr., 2021"	"2021/04"	"65-69 years"	"65-69"	560	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Apr., 2021"	"2021/04"	"70-74 years"	"70-74"	635	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Apr., 2021"	"2021/04"	"75-79 years"	"75-79"	615	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Apr., 2021"	"2021/04"	"80-84 years"	"80-84"	589	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Apr., 2021"	"2021/04"	"85-89 years"	"85-89"	564	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Apr., 2021"	"2021/04"	"90-94 years"	"90-94"	356	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Apr., 2021"	"2021/04"	"95-99 years"	"95-99"	132	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Apr., 2021"	"2021/04"	"100+ years"	"100+"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"May, 2021"	"2021/05"	"< 1 year"	"1"	39	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"May, 2021"	"2021/05"	"10-14 years"	"10-14"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"May, 2021"	"2021/05"	"15-19 years"	"15-19"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"May, 2021"	"2021/05"	"20-24 years"	"20-24"	45	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"May, 2021"	"2021/05"	"25-29 years"	"25-29"	54	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"May, 2021"	"2021/05"	"30-34 years"	"30-34"	77	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"May, 2021"	"2021/05"	"35-39 years"	"35-39"	96	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"May, 2021"	"2021/05"	"40-44 years"	"40-44"	109	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"May, 2021"	"2021/05"	"45-49 years"	"45-49"	138	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"May, 2021"	"2021/05"	"50-54 years"	"50-54"	187	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"May, 2021"	"2021/05"	"55-59 years"	"55-59"	341	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"May, 2021"	"2021/05"	"60-64 years "	"60-64"	451	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"May, 2021"	"2021/05"	"65-69 years"	"65-69"	518	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"May, 2021"	"2021/05"	"70-74 years"	"70-74"	635	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"May, 2021"	"2021/05"	"75-79 years"	"75-79"	608	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"May, 2021"	"2021/05"	"80-84 years"	"80-84"	601	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"May, 2021"	"2021/05"	"85-89 years"	"85-89"	514	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"May, 2021"	"2021/05"	"90-94 years"	"90-94"	380	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"May, 2021"	"2021/05"	"95-99 years"	"95-99"	135	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"May, 2021"	"2021/05"	"100+ years"	"100+"	39	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jun., 2021"	"2021/06"	"< 1 year"	"1"	35	Not Applicable	Not Applicable
