"STATISTIC Label","Quarter","Age Group","ICD 10 Diagnostic Group","UNIT","VALUE"
"Deaths Registered","2011Q4","75 - 84 years","Total deaths (A00-Y89)","Number","1973"
"Deaths Registered","2011Q4","85 years and over","Total deaths (A00-Y89)","Number","2143"
"Deaths Registered","2011Q4","All ages","Total deaths (A00-Y89)","Number","6714"
"Deaths Registered","2012Q1","Under 1 year","Total deaths (A00-Y89)","Number","61"
"Deaths Registered","2012Q1","1 - 4 years","Total deaths (A00-Y89)","Number","12"
"Deaths Registered","2012Q1","5 - 14 years","Total deaths (A00-Y89)","Number","15"
"Deaths Registered","2012Q1","15 - 24 years","Total deaths (A00-Y89)","Number","60"
"Deaths Registered","2012Q1","25 - 34 years","Total deaths (A00-Y89)","Number","125"
"Deaths Registered","2012Q1","35 - 44 years","Total deaths (A00-Y89)","Number","176"
"Deaths Registered","2012Q1","45 - 54 years","Total deaths (A00-Y89)","Number","362"
"Deaths Registered","2012Q1","55 - 64 years","Total deaths (A00-Y89)","Number","723"
"Deaths Registered","2012Q1","65 - 74 years","Total deaths (A00-Y89)","Number","1281"
"Deaths Registered","2012Q1","75 - 84 years","Total deaths (A00-Y89)","Number","2441"
"Deaths Registered","2012Q1","85 years and over","Total deaths (A00-Y89)","Number","2723"
"Deaths Registered","2012Q1","All ages","Total deaths (A00-Y89)","Number","7979"
"Deaths Registered","2012Q2","Under 1 year","Total deaths (A00-Y89)","Number","47"
"Deaths Registered","2012Q2","1 - 4 years","Total deaths (A00-Y89)","Number","16"
"Deaths Registered","2012Q2","5 - 14 years","Total deaths (A00-Y89)","Number","16"
"Deaths Registered","2012Q2","15 - 24 years","Total deaths (A00-Y89)","Number","53"
"Deaths Registered","2012Q2","25 - 34 years","Total deaths (A00-Y89)","Number","95"
"Deaths Registered","2012Q2","35 - 44 years","Total deaths (A00-Y89)","Number","195"
"Deaths Registered","2012Q2","45 - 54 years","Total deaths (A00-Y89)","Number","322"
"Deaths Registered","2012Q2","55 - 64 years","Total deaths (A00-Y89)","Number","707"
"Deaths Registered","2012Q2","65 - 74 years","Total deaths (A00-Y89)","Number","1187"
"Deaths Registered","2012Q2","75 - 84 years","Total deaths (A00-Y89)","Number","2107"
"Deaths Registered","2012Q2","85 years and over","Total deaths (A00-Y89)","Number","2335"
"Deaths Registered","2012Q2","All ages","Total deaths (A00-Y89)","Number","7080"
"Deaths Registered","2012Q3","Under 1 year","Total deaths (A00-Y89)","Number","79"
"Deaths Registered","2012Q3","1 - 4 years","Total deaths (A00-Y89)","Number","9"
"Deaths Registered","2012Q3","5 - 14 years","Total deaths (A00-Y89)","Number","13"
"Deaths Registered","2012Q3","15 - 24 years","Total deaths (A00-Y89)","Number","82"
"Deaths Registered","2012Q3","25 - 34 years","Total deaths (A00-Y89)","Number","104"
"Deaths Registered","2012Q3","35 - 44 years","Total deaths (A00-Y89)","Number","185"
"Deaths Registered","2012Q3","45 - 54 years","Total deaths (A00-Y89)","Number","390"
"Deaths Registered","2012Q3","55 - 64 years","Total deaths (A00-Y89)","Number","706"
"Deaths Registered","2012Q3","65 - 74 years","Total deaths (A00-Y89)","Number","1203"
"Deaths Registered","2012Q3","75 - 84 years","Total deaths (A00-Y89)","Number","1924"
"Deaths Registered","2012Q3","85 years and over","Total deaths (A00-Y89)","Number","2130"
"Deaths Registered","2012Q3","All ages","Total deaths (A00-Y89)","Number","6825"
"Deaths Registered","2012Q4","Under 1 year","Total deaths (A00-Y89)","Number","63"
"Deaths Registered","2012Q4","1 - 4 years","Total deaths (A00-Y89)","Number","8"
"Deaths Registered","2012Q4","5 - 14 years","Total deaths (A00-Y89)","Number","16"
"Deaths Registered","2012Q4","15 - 24 years","Total deaths (A00-Y89)","Number","56"
"Deaths Registered","2012Q4","25 - 34 years","Total deaths (A00-Y89)","Number","125"
"Deaths Registered","2012Q4","35 - 44 years","Total deaths (A00-Y89)","Number","208"
"Deaths Registered","2012Q4","45 - 54 years","Total deaths (A00-Y89)","Number","360"
"Deaths Registered","2012Q4","55 - 64 years","Total deaths (A00-Y89)","Number","691"
"Deaths Registered","2012Q4","65 - 74 years","Total deaths (A00-Y89)","Number","1200"
"Deaths Registered","2012Q4","75 - 84 years","Total deaths (A00-Y89)","Number","2024"
"Deaths Registered","2012Q4","85 years and over","Total deaths (A00-Y89)","Number","2213"
"Deaths Registered","2012Q4","All ages","Total deaths (A00-Y89)","Number","6964"
"Deaths Registered","2013Q1","Under 1 year","Total deaths (A00-Y89)","Number","55"
"Deaths Registered","2013Q1","1 - 4 years","Total deaths (A00-Y89)","Number","12"
"Deaths Registered","2013Q1","5 - 14 years","Total deaths (A00-Y89)","Number","9"
"Deaths Registered","2013Q1","15 - 24 years","Total deaths (A00-Y89)","Number","46"
"Deaths Registered","2013Q1","25 - 34 years","Total deaths (A00-Y89)","Number","97"
"Deaths Registered","2013Q1","35 - 44 years","Total deaths (A00-Y89)","Number","168"
"Deaths Registered","2013Q1","45 - 54 years","Total deaths (A00-Y89)","Number","393"
"Deaths Registered","2013Q1","55 - 64 years","Total deaths (A00-Y89)","Number","785"
"Deaths Registered","2013Q1","65 - 74 years","Total deaths (A00-Y89)","Number","1405"
"Deaths Registered","2013Q1","75 - 84 years","Total deaths (A00-Y89)","Number","2445"
"Deaths Registered","2013Q1","85 years and over","Total deaths (A00-Y89)","Number","2932"
"Deaths Registered","2013Q1","All ages","Total deaths (A00-Y89)","Number","8347"
"Deaths Registered","2013Q2","Under 1 year","Total deaths (A00-Y89)","Number","58"
"Deaths Registered","2013Q2","1 - 4 years","Total deaths (A00-Y89)","Number","8"
"Deaths Registered","2013Q2","5 - 14 years","Total deaths (A00-Y89)","Number","11"
"Deaths Registered","2013Q2","15 - 24 years","Total deaths (A00-Y89)","Number","53"
"Deaths Registered","2013Q2","25 - 34 years","Total deaths (A00-Y89)","Number","84"
"Deaths Registered","2013Q2","35 - 44 years","Total deaths (A00-Y89)","Number","153"
"Deaths Registered","2013Q2","45 - 54 years","Total deaths (A00-Y89)","Number","343"
"Deaths Registered","2013Q2","55 - 64 years","Total deaths (A00-Y89)","Number","728"
"Deaths Registered","2013Q2","65 - 74 years","Total deaths (A00-Y89)","Number","1308"
"Deaths Registered","2013Q2","75 - 84 years","Total deaths (A00-Y89)","Number","2292"
"Deaths Registered","2013Q2","85 years and over","Total deaths (A00-Y89)","Number","2606"
"Deaths Registered","2013Q2","All ages","Total deaths (A00-Y89)","Number","7644"
"Deaths Registered","2013Q3","Under 1 year","Total deaths (A00-Y89)","Number","59"
"Deaths Registered","2013Q3","1 - 4 years","Total deaths (A00-Y89)","Number","11"
"Deaths Registered","2013Q3","5 - 14 years","Total deaths (A00-Y89)","Number","13"
"Deaths Registered","2013Q3","15 - 24 years","Total deaths (A00-Y89)","Number","53"
"Deaths Registered","2013Q3","25 - 34 years","Total deaths (A00-Y89)","Number","97"
"Deaths Registered","2013Q3","35 - 44 years","Total deaths (A00-Y89)","Number","143"
"Deaths Registered","2013Q3","45 - 54 years","Total deaths (A00-Y89)","Number","376"
"Deaths Registered","2013Q3","55 - 64 years","Total deaths (A00-Y89)","Number","709"
"Deaths Registered","2013Q3","65 - 74 years","Total deaths (A00-Y89)","Number","1266"
